([(-29856, 22384), (-29696, 22224)], 74406.42042632384)
([(11280, -47760), (11328, -47536)], 97941.09946602624)
([(-27280, -45936), (-27072, -45984)], 106787.02030374901)
([(-56480, -1760), (-56256, -1680)], 112788.49517635618)
([(-59824, -2736), (-59872, -2560)], 119813.23673990823)
([(62800, 10096), (62720, 10320)], 127169.72195817772)
([(57696, -48816), (57872, -48960)], 151380.67516700504)
([(69472, -32016), (69680, -32048)], 153190.98718413542)
([(-37584, -68352), (-37376, -68288)], 155850.9357563911)
([(59248, 50800), (59472, 50784)], 156249.0715278702)
([(-46272, -63936), (-46064, -63968)], 157751.08627793012)
([(15728, -79632), (15888, -79536)], 162277.7080454877)
([(64816, 48976), (65040, 48960)], 162647.04926162647)
([(-49312, -65456), (-49120, -65360)], 163712.22812739224)
([(-84144, -25840), (-83968, -25776)], 175857.48801428458)
([(-46752, 75808), (-46544, 75952)], 178144.05695163048)
([(-69312, -56256), (-69088, -56256)], 178363.47751041525)
([(50528, -75648), (50752, -75664)], 182079.62862772122)
([(-89952, -16592), (-90000, -16368)], 182945.71964647537)
([(48448, 80448), (48640, 80528)], 187987.67904415677)
([(61808, -71472), (61984, -71376)], 189023.9369379105)
([(-64480, 76080), (-64368, 76288)], 199544.1376059014)
([(106336, 4688), (106496, 4720)], 213039.83502660436)
([(-48032, -97984), (-48064, -97792)], 218088.7347731149)
([(98640, 46768), (98880, 46784)], 218554.64967801038)
([(-107680, -23344), (-107456, -23328)], 220140.3531719678)
([(74096, -81776), (74288, -81664)], 220749.84107694705)
([(109920, -23040), (110160, -23008)], 224845.7942234129)
([(-114320, 12432), (-114176, 12464)], 229848.28709307767)
([(-107664, 42336), (-107488, 42192)], 231160.91958179433)
([(-107664, 42336), (-107488, 42496)], 231272.34350411483)
([(-108432, 42848), (-108272, 43008)], 233092.08370270595)
([(-108896, 43376), (-108960, 43584)], 234570.47352608916)
([(76480, -95984), (76464, -95744)], 245258.0517172076)
([(-110784, 55088), (-110544, 55136)], 247255.8113509933)
([(123248, 29216), (123488, 29232)], 253564.24034205062)
([(4976, 127136), (5168, 127120)], 254458.3488953704)
([(117616, 48704), (117760, 48720)], 254741.6314133329)
([(10816, 127344), (10800, 127504)], 255763.08456890803)
([(79168, -101552), (79408, -101536)], 257664.74948224318)
([(-124112, -38032), (-123888, -38128)], 259430.85864128545)
([(129680, -5792), (129728, -5584)], 259657.40486142487)
([(50832, -119968), (50832, -119808)], 260438.2901435583)
([(-28096, 129856), (-28144, 130064)], 265934.84918032837)
