([(-21104, -3376), (-20960, -3328)], 42594.886124480836)
([(10032, 26496), (10000, 26688)], 56831.57933960558)
([(10000, 26688), (10032, 26496)], 56831.57933960558)
([(26704, -10352), (26784, -10176)], 57292.252258250635)
([(26784, -10176), (26704, -10352)], 57292.252258250635)
([(176, 36720), (224, 36880)], 73601.10203809998)
([(224, 36880), (176, 36720)], 73601.10203809998)
([(-22272, -31872), (-22224, -31680)], 77580.64019277817)
([(-22224, -31680), (-22272, -31872)], 77580.64019277817)
([(-2944, -43136), (-2928, -42944)], 86280.04863458363)
([(-2928, -42944), (-2944, -43136)], 86280.04863458363)
([(-14480, 43168), (-14304, 43168)], 91007.97453727378)
([(-14304, 43168), (-14480, 43168)], 91007.97453727378)
([(44736, -13472), (44688, -13296)], 93344.5315832071)
([(44688, -13296), (44736, -13472)], 93344.5315832071)
([(18144, -47232), (18144, -47040)], 101015.01712752649)
([(18144, -47040), (18144, -47232)], 101015.01712752649)
([(40832, 32384), (41024, 32432)], 104410.36942689682)
([(41024, 32432), (40832, 32384)], 104410.36942689682)
([(37264, -39216), (37440, -39216)], 108315.66129450103)
([(37440, -39216), (37264, -39216)], 108315.66129450103)
([(-50832, -21280), (-50656, -21280)], 110050.77181373804)
([(-50656, -21280), (-50832, -21280)], 110050.77181373804)
([(-29984, -50320), (-29984, -50128)], 116987.05661100068)
([(-29984, -50128), (-29984, -50320)], 116987.05661100068)
([(-59008, 4304), (-58832, 4352)], 118157.50347873589)
([(-58832, 4352), (-59008, 4304)], 118157.50347873589)
([(-47984, 47456), (-47968, 47648)], 135098.40455896687)
([(-47968, 47648), (-47984, 47456)], 135098.40455896687)
([(28880, -63104), (28928, -62928)], 138657.28822692117)
([(28928, -62928), (28880, -63104)], 138657.28822692117)
([(63744, 33168), (63696, 33344)], 143752.6748008752)
([(63696, 33344), (63744, 33168)], 143752.6748008752)
([(784, -74416), (704, -74240)], 148663.467605953)
([(704, -74240), (784, -74416)], 148663.467605953)
([(-61632, 42256), (-61440, 42240)], 149285.96825144932)
([(-61440, 42240), (-61632, 42256)], 149285.96825144932)
([(40160, 65360), (40176, 65552)], 153596.32864010404)
([(40176, 65552), (40160, 65360)], 153596.32864010404)
([(-53920, -54992), (-53760, -55088)], 153989.03124840645)
([(-53760, -55088), (-53920, -54992)], 153989.03124840645)
([(76944, -9328), (76896, -9216)], 154953.65970460884)
([(76896, -9216), (76944, -9328)], 154953.65970460884)
([(56208, 60544), (56400, 60560)], 165368.54992759245)
([(56400, 60560), (56208, 60544)], 165368.54992759245)
([(-41232, -76416), (-41344, -76272)], 173587.00704472486)
([(-41344, -76272), (-41232, -76416)], 173587.00704472486)
([(60800, 64736), (60944, 64608)], 177627.44428118158)
([(60944, 64608), (60800, 64736)], 177627.44428118158)
([(-60000, -67440), (-59824, -67360)], 180357.525824589)
([(-59824, -67360), (-60000, -67440)], 180357.525824589)
([(-9536, -90768), (-9552, -90592)], 182361.73535816057)
([(-9552, -90592), (-9536, -90768)], 182361.73535816057)
([(-1344, -91792), (-1360, -91616)], 183427.9325121753)
([(-1360, -91616), (-1344, -91792)], 183427.9325121753)
([(-78528, -53936), (-78576, -53744)], 190464.3893990119)
([(-78576, -53744), (-78528, -53936)], 190464.3893990119)
([(79536, 54656), (79552, 54816)], 193114.28117234807)
([(79552, 54816), (79536, 54656)], 193114.28117234807)
([(63024, 73056), (63040, 73248)], 193124.32609152247)
([(63040, 73248), (63024, 73056)], 193124.32609152247)
([(-37056, -89424), (-36864, -89424)], 193522.1046533184)
([(-36864, -89424), (-37056, -89424)], 193522.1046533184)
([(25952, 93376), (26128, 93328)], 193831.73964779143)
([(26128, 93328), (25952, 93376)], 193831.73964779143)
([(93920, 25952), (93968, 26128)], 194972.4378599861)
([(93968, 26128), (93920, 25952)], 194972.4378599861)
([(81680, -59024), (81744, -58864)], 201506.85416894688)
([(81744, -58864), (81680, -59024)], 201506.85416894688)
([(-81568, 61264), (-81584, 61456)], 204153.8493111836)
([(-81584, 61456), (-81568, 61264)], 204153.8493111836)
([(-70288, 79488), (-70144, 79552)], 212167.12944063195)
([(-70144, 79552), (-70288, 79488)], 212167.12944063195)
([(14720, -106800), (14912, -106848)], 215693.20117137424)
([(14912, -106848), (14720, -106800)], 215693.20117137424)
([(-41200, 99680), (-41184, 99840)], 215859.58308538306)
([(-41184, 99840), (-41200, 99680)], 215859.58308538306)
([(-10352, -108672), (-10208, -108784)], 218425.84375970205)
([(-10208, -108784), (-10352, -108672)], 218425.84375970205)
([(10640, -110800), (10800, -110832)], 222666.65986345615)
([(10800, -110832), (10640, -110800)], 222666.65986345615)
([(-112304, 6528), (-112336, 6720)], 225030.38710720267)
([(-112336, 6720), (-112304, 6528)], 225030.38710720267)
([(102240, 56016), (102432, 56000)], 233320.00154593954)
([(102432, 56000), (102240, 56016)], 233320.00154593954)
([(21344, -119584), (21536, -119616)], 243013.1025560263)
([(21536, -119616), (21344, -119584)], 243013.1025560263)
([(-54608, 111488), (-54688, 111648)], 248465.87313782258)
([(-54688, 111648), (-54608, 111488)], 248465.87313782258)
([(-86656, 91280), (-86480, 91216)], 251556.8951680152)
([(-86480, 91216), (-86656, 91280)], 251556.8951680152)
([(-121296, -37504), (-121248, -37344)], 253830.32578184683)
([(-121248, -37344), (-121296, -37504)], 253830.32578184683)
([(-90256, -89440), (-90096, -89328)], 253938.65956784098)
([(-90096, -89328), (-90256, -89440)], 253938.65956784098)
([(-7856, 127648), (-7664, 127696)], 255815.29780093872)
([(-7664, 127696), (-7856, 127648)], 255815.29780093872)
([(127136, 18304), (127184, 18480)], 256966.44343333214)
([(127184, 18480), (127136, 18304)], 256966.44343333214)
([(70912, -111264), (70880, -111072)], 263701.10726973007)
([(70880, -111072), (70912, -111264)], 263701.10726973007)
([(-48992, 122752), (-49024, 122928)], 264510.4911264662)
([(-49024, 122928), (-48992, 122752)], 264510.4911264662)
([(-5424, 132432), (-5456, 132608)], 265263.2213722337)
([(-5456, 132608), (-5424, 132432)], 265263.2213722337)
([(109936, 76960), (110112, 76992)], 268556.03918760084)
([(110112, 76992), (109936, 76960)], 268556.03918760084)
([(-121664, -57536), (-121680, -57344)], 269098.0291642464)
([(-121680, -57344), (-121664, -57536)], 269098.0291642464)
([(-107136, -83328), (-106992, -83312)], 271329.49661160284)
([(-106992, -83312), (-107136, -83328)], 271329.49661160284)
([(134176, -21648), (134240, -21472)], 271857.5312249866)
([(134240, -21472), (134176, -21648)], 271857.5312249866)
([(46496, 131808), (46640, 131824)], 279600.0052508664)
([(46640, 131824), (46496, 131808)], 279600.0052508664)
([(-116384, -79184), (-116192, -79184)], 281375.2492276578)
([(-116192, -79184), (-116384, -79184)], 281375.2492276578)
([(-124032, -67456), (-123872, -67440)], 282229.2116849767)
([(-123872, -67440), (-124032, -67456)], 282229.2116849767)
([(-142448, -28400), (-142272, -28448)], 290339.7667412647)
([(-142272, -28448), (-142448, -28400)], 290339.7667412647)
([(-25760, -143168), (-25568, -143216)], 290947.4145427421)
([(-25568, -143216), (-25760, -143168)], 290947.4145427421)
([(71024, 129152), (71216, 129152)], 294878.28387744527)
([(71216, 129152), (71024, 129152)], 294878.28387744527)
([(-144160, -31344), (-144176, -31168)], 295034.62475291954)
([(-144176, -31168), (-144160, -31344)], 295034.62475291954)
([(-136000, 58272), (-135920, 58448)], 295912.2879490734)
([(-135920, 58448), (-136000, 58272)], 295912.2879490734)
([(148336, -12512), (148496, -12560)], 297888.97695085884)
([(148496, -12560), (148336, -12512)], 297888.97695085884)
([(101488, 109936), (101536, 110096)], 299387.42619177554)
([(101536, 110096), (101488, 109936)], 299387.42619177554)
([(-61184, -138400), (-61216, -138240)], 302508.6088633172)
([(-61216, -138240), (-61184, -138400)], 302508.6088633172)
([(12128, 151296), (12288, 151200)], 303479.81651086966)
([(12288, 151200), (12128, 151296)], 303479.81651086966)
([(-153472, -6784), (-153504, -6608)], 307268.02900654834)
([(-153504, -6608), (-153472, -6784)], 307268.02900654834)
([(-20096, 153424), (-19920, 153360)], 309382.8220005015)
([(-19920, 153360), (-20096, 153424)], 309382.8220005015)
([(150880, -34592), (151072, -34608)], 309780.00427556405)
([(151072, -34608), (150880, -34592)], 309780.00427556405)
([(-111280, 108880), (-111280, 109072)], 311506.09419653285)
([(-111280, 109072), (-111280, 108880)], 311506.09419653285)
([(3648, -156352), (3664, -156160)], 312597.5302328948)
([(3664, -156160), (3648, -156352)], 312597.5302328948)
([(140960, -69296), (141040, -69120)], 314138.5465031683)
([(141040, -69120), (140960, -69296)], 314138.5465031683)
([(154976, 27824), (155168, 27808)], 315093.9901440223)
([(155168, 27808), (154976, 27824)], 315093.9901440223)
([(-154224, 38528), (-154080, 38560)], 317795.4066890182)
([(-154080, 38560), (-154224, 38528)], 317795.4066890182)
([(89488, -131408), (89680, -131424)], 318090.953719508)
([(89680, -131424), (89488, -131408)], 318090.953719508)
([(159824, -3200), (159824, -3008)], 319708.3358595777)
([(159824, -3008), (159824, -3200)], 319708.3358595777)
([(-140512, -76912), (-140496, -76752)], 320278.2205688253)
([(-140496, -76752), (-140512, -76912)], 320278.2205688253)
([(-105744, 127904), (-105840, 128048)], 332083.14572603774)
([(-105840, 128048), (-105744, 127904)], 332083.14572603774)
([(162064, 37776), (161984, 37904)], 332768.0710453291)
([(161984, 37904), (162064, 37776)], 332768.0710453291)
([(48816, 159136), (48816, 159296)], 333062.9794014066)
([(48816, 159296), (48816, 159136)], 333062.9794014066)
([(-76576, 148848), (-76592, 149008)], 334930.7934992723)
([(-76592, 149008), (-76576, 148848)], 334930.7934992723)
([(171696, -7808), (171648, -7616)], 343690.3229362827)
